,XAUUSD,XAUUSD,XAUUSD,XAUUSD,XAUUSD,XAUUSD,XAUUSD
,0,1,2,3,4,5,6
2011-01-16,21.37505,21.893988,21.776682,21.871136,21.930092,21.517796,22.83459
2011-01-17,43.130234,43.65505,43.536766,43.630016,43.691322,43.273262,44.606686
2011-01-18,63.43138,63.95722,63.838833,63.93187,63.99331,63.574535,64.91005
2011-01-19,83.2093,83.73545,83.617035,83.71001,83.77148,83.352486,84.68865
2011-01-20,102.717384,103.24367,103.12525,103.218185,103.27968,102.860596,104.19703
2011-01-21,122.06098,122.587326,122.4689,122.56184,122.62333,122.2042,123.54078
2011-01-23,141.29398,141.82036,141.70193,141.79485,141.85635,141.4372,142.77385
2011-01-24,160.44763,160.97406,160.85562,160.94853,161.01004,160.59087,161.92757
2011-01-25,179.5418,180.0682,179.94978,180.0427,180.1042,179.68503,181.02174
2011-01-26,198.58975,199.11617,198.99774,199.09064,199.15216,198.73296,200.06972
2011-01-27,217.60086,218.1273,218.00887,218.10176,218.16327,217.74408,219.08084
2011-01-28,236.58202,237.10844,236.99002,237.08293,237.14444,236.72523,238.062
2011-01-30,255.53839,256.06485,255.9464,256.0393,256.1008,255.68161,257.0184
2011-01-31,274.47394,275.00037,274.88193,274.97485,275.03635,274.61716,275.95395
2011-02-01,293.39185,293.9183,293.79987,293.8928,293.95428,293.53506,294.87186
2011-02-02,312.29462,312.82104,312.70264,312.79553,312.85703,312.43784,313.7746
2011-02-03,331.18427,331.71072,331.5923,331.68518,331.7467,331.32748,332.66428
2011-02-04,350.0625,350.58896,350.47052,350.56342,350.62497,350.20572,351.54254
2011-02-06,368.93076,369.45718,369.33875,369.43164,369.49316,369.07394,370.41077
2011-02-07,387.79013,388.3166,388.19818,388.29105,388.35254,387.93335,389.27017
2011-02-08,406.64172,407.16818,407.04974,407.14264,407.20413,406.78494,408.12177
2011-02-09,425.48636,426.01285,425.8944,425.98727,426.04883,425.62964,426.96643
2011-02-10,444.32483,444.85126,444.73285,444.82574,444.88724,444.46808,445.80487
2011-02-11,463.15775,463.68423,463.56583,463.65866,463.72018,463.30103,464.63782
2011-02-13,481.98563,482.5121,482.39365,482.4865,482.54803,482.12888,483.46567
2011-02-14,500.809,501.33548,501.21704,501.3099,501.37143,500.95227,502.28906
2011-02-15,519.6283,520.1548,520.0363,520.1292,520.19073,519.77155,521.1084
2011-02-16,538.44403,538.9704,538.852,538.9449,539.0064,538.5872,539.924
2011-02-17,557.2562,557.7827,557.66425,557.75714,557.81866,557.39954,558.7363
2011-02-18,576.0655,576.5919,576.4736,576.5664,576.628,576.20874,577.54553
2011-02-20,594.87213,595.3985,595.28015,595.373,595.43445,595.0153,596.3521
2011-02-21,613.67584,614.20233,614.0839,614.17676,614.23834,613.81915,615.15594
2011-02-22,632.4776,633.004,632.88556,632.9784,633.04004,632.6208,633.95764
2011-02-23,651.2771,651.8035,651.68506,651.77795,651.8394,651.4203,652.7571
2011-02-24,670.0747,670.6012,670.4828,670.5756,670.6372,670.218,671.5548
2011-02-25,688.8704,689.3969,689.27844,689.37134,689.43286,689.0137,690.3505
2011-02-27,707.66473,708.19116,708.0728,708.1656,708.2272,707.808,709.14484
2011-02-28,726.4574,726.9839,726.8654,726.9583,727.01984,726.60065,727.9375
2011-03-01,745.24866,745.7751,745.65674,745.7496,745.81104,745.39185,746.7287
2011-03-02,764.0388,764.56537,764.4469,764.53973,764.60126,764.18207,765.519
2011-03-03,782.82764,783.3542,783.2357,783.32855,783.3901,782.9709,784.30774
2011-03-04,801.6155,802.1419,802.0235,802.11633,802.17786,801.75867,803.0955
2011-03-06,820.4023,820.9288,820.81024,820.9031,820.9646,820.54553,821.8823
2011-03-07,839.1884,839.71497,839.59644,839.6893,839.75073,839.33167,840.66846
2011-03-08,857.9741,858.5007,858.3822,858.4749,858.53656,858.1173,859.45416
2011-03-09,876.7593,877.2859,877.16736,877.26013,877.32166,876.9026,878.2393
2011-03-10,895.54395,896.07056,895.9521,896.04486,896.1064,895.68726,897.02405
2011-03-11,914.3271,914.8537,914.73517,914.8279,914.88947,914.4704,915.8072
2011-03-13,933.1087,933.6353,933.5167,933.6095,933.6711,933.2519,934.58875
2011-03-14,951.88904,952.41565,952.29706,952.3899,952.4515,952.0323,953.3691
2011-03-15,970.66876,971.1953,971.07684,971.1697,971.23114,970.8121,972.1488
2011-03-16,989.4482,989.97473,989.8562,989.949,990.0105,989.5914,990.9282
2011-03-17,1008.22723,1008.75385,1008.6354,1008.7281,1008.7897,1008.3705,1009.70734
2011-03-18,1027.006,1027.5326,1027.4141,1027.5068,1027.5684,1027.1493,1028.4861
2011-03-20,1045.7848,1046.3113,1046.1927,1046.2856,1046.347,1045.928,1047.2648
2011-03-21,1064.5632,1065.0898,1064.9713,1065.0641,1065.1257,1064.7065,1066.0433
2011-03-22,1083.3418,1083.8683,1083.7498,1083.8425,1083.9042,1083.485,1084.8218
2011-03-23,1102.1201,1102.6467,1102.5282,1102.621,1102.6825,1102.2634,1103.6001
