,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY,ZARJPY
,0,1,2,3,4,5,6
2011-01-16,66.90569,67.14309,67.29425,66.66472,66.74261,66.55225,66.83256
2011-01-17,24.57933,24.834587,25.012962,24.294724,24.397888,24.206955,24.492233
2011-01-18,12.187958,12.1857605,12.022957,12.150497,12.1740265,12.172005,12.171722
2011-01-19,12.103195,12.104019,12.11554,12.107483,12.107903,12.105919,12.104988
2011-01-20,12.113449,12.104309,12.106506,12.107681,12.103714,12.104759,12.104729
2011-01-21,12.112122,12.111008,12.104172,12.106102,12.106445,12.102287,12.103706
2011-01-23,12.111458,12.111595,12.106506,12.103264,12.10321,12.106033,12.08213
2011-01-24,12.104485,12.107208,12.10379,12.101959,12.103348,12.08609,12.071724
2011-01-25,12.110275,12.103851,12.104172,12.106689,12.08197,12.071457,12.057236
2011-01-26,12.103554,12.102089,12.106766,12.082779,12.071426,12.05645,12.012611
2011-01-27,12.10334,12.104317,12.081726,12.069519,12.0570755,12.013344,11.985695
2011-01-28,12.104286,12.082642,12.069824,12.05999,12.009796,12.003326,11.982079
2011-01-30,12.082787,12.068489,12.059761,12.011208,11.98616,11.979279,11.978546
2011-01-31,12.07135,12.062439,12.005707,11.995407,11.983604,11.969955,11.845329
2011-02-01,12.058723,12.012688,11.983177,11.982712,11.974113,11.8452835,11.835274
2011-02-02,12.014122,11.992294,11.978821,11.974838,11.842766,11.829086,11.806618
2011-02-03,11.981491,11.980774,11.978859,11.854393,11.838127,11.8100815,11.806465
2011-02-04,11.978233,11.976753,11.833786,11.839935,11.810852,11.806976,11.733459
2011-02-06,11.977898,11.845039,11.836357,11.80986,11.8035965,11.740913,11.712898
2011-02-07,11.845093,11.831848,11.817795,11.801285,11.73465,11.712593,11.692085
2011-02-08,11.8329315,11.810516,11.808823,11.741341,11.712036,11.689903,11.66481
2011-02-09,11.818825,11.803467,11.730202,11.717163,11.693611,11.667564,11.6614685
2011-02-10,11.805374,11.73558,11.712898,11.687904,11.666885,11.661179,11.599281
2011-02-11,11.734291,11.716942,11.691864,11.663406,11.661003,11.596031,11.572189
2011-02-13,11.712547,11.697708,11.669617,11.654106,11.596405,11.553856,11.549164
2011-02-14,11.685745,11.67923,11.653587,11.596359,11.5577545,11.549622,11.553619
2011-02-15,11.664963,11.663101,11.594482,11.554344,11.543007,11.555489,11.553864
2011-02-16,11.662361,11.594513,11.555969,11.548462,11.5557785,11.545959,11.5535965
2011-02-17,11.594978,11.556137,11.552673,11.558693,11.560165,11.555534,11.547859
2011-02-18,11.551804,11.551819,11.55584,11.549934,11.542091,11.552956,11.554634
2011-02-20,11.556625,11.552719,11.548546,11.547211,11.55661,11.545601,11.550514
2011-02-21,11.543007,11.554596,11.553253,11.554794,11.550484,11.555275,11.551285
2011-02-22,11.556297,11.554596,11.559189,11.552338,11.551392,11.551666,11.550514
2011-02-23,11.5418625,11.554596,11.553856,11.554146,11.549202,11.555466,11.551285
2011-02-24,11.556305,11.554596,11.553787,11.550468,11.532684,11.551407,11.550514
2011-02-25,11.550453,11.554596,11.532974,11.5542145,11.551949,11.555466,11.551285
2011-02-27,11.556946,11.554596,11.554611,11.550468,11.552467,11.55114,11.550514
2011-02-28,11.548424,11.554596,11.554749,11.5542145,11.551559,11.555466,11.566132
2011-03-01,11.543083,11.554596,11.534874,11.550339,11.552338,11.550888,11.568726
2011-03-02,11.543457,11.554596,11.540825,11.554535,11.544014,11.543495,11.547234
2011-03-03,11.541069,11.554909,11.550964,11.550026,11.561752,11.567764,11.5542755
2011-03-04,11.545433,11.554909,11.546799,11.548569,11.557625,11.540573,11.554016
2011-03-06,11.549004,11.554909,11.5575485,11.561958,11.558144,11.561958,11.552956
2011-03-07,11.5568695,11.550461,11.538368,11.5718155,11.560181,11.548576,11.559586
2011-03-08,11.555237,11.557114,11.562042,11.571335,11.553604,11.564598,11.566177
2011-03-09,11.559753,11.557777,11.548279,11.548706,11.556778,11.569893,11.586479
2011-03-10,11.555107,11.5572815,11.546448,11.5841675,11.576004,11.587189,11.614174
2011-03-11,11.559952,11.563637,11.571381,11.567268,11.594521,11.606636,11.592392
2011-03-13,11.554977,11.547653,11.55587,11.581818,11.6117935,11.599129,11.614815
2011-03-14,11.559952,11.561096,11.577385,11.627403,11.623436,11.61145,11.62735
2011-03-15,11.561333,11.597244,11.622307,11.609604,11.61763,11.628059,11.598648
2011-03-16,11.595108,11.608368,11.590324,11.60968,11.601189,11.615776,11.6395645
2011-03-17,11.620628,11.624084,11.604469,11.6147995,11.618538,11.605835,11.632484
2011-03-18,11.602089,11.608406,11.625832,11.619812,11.6267395,11.639519,11.646683
2011-03-20,11.610344,11.583488,11.607201,11.582123,11.642036,11.655067,11.654419
2011-03-21,11.6158905,11.605736,11.635696,11.64859,11.619583,11.645248,11.652115
2011-03-22,11.621895,11.617203,11.622757,11.632446,11.644196,11.655121,11.676567
2011-03-23,11.607445,11.6313095,11.630531,11.641281,11.662209,11.666115,11.664124
2011-03-24,11.628555,11.6419525,11.6412735,11.662056,11.667221,11.678886,11.716583
2011-03-25,11.645622,11.660637,11.659065,11.664833,11.679176,11.720978,11.728645
2011-03-27,11.639709,11.642876,11.6716385,11.699623,11.701019,11.714058,11.737328
2011-03-28,11.672806,11.658989,11.709526,11.707573,11.733765,11.731407,11.7595215
2011-03-29,11.649773,11.695267,11.703056,11.742081,11.739716,11.75856,11.766106
