DateTime Stamp,XAUEUR,XAUEUR Volume,USDNOK,USDNOK Volume,UDXUSD,UDXUSD Volume,AUDUSD,AUDUSD Volume,USDPLN,USDPLN Volume,NZDUSD,NZDUSD Volume,AUDCAD,AUDCAD Volume,EURSEK,EURSEK Volume,NZDCAD,NZDCAD Volume,USDCAD,USDCAD Volume,ETXEUR,ETXEUR Volume,AUXAUD,AUXAUD Volume,USDSGD,USDSGD Volume,XAUCHF,XAUCHF Volume,JPXJPY,JPXJPY Volume,EURHUF,EURHUF Volume,WTIUSD,WTIUSD Volume,SGDJPY,SGDJPY Volume,USDCZK,USDCZK Volume,USDTRY,USDTRY Volume,SPXUSD,SPXUSD Volume,GBPCHF,GBPCHF Volume,USDMXN,USDMXN Volume,USDZAR,USDZAR Volume,NZDJPY,NZDJPY Volume,CADCHF,CADCHF Volume,USDDKK,USDDKK Volume,USDJPY,USDJPY Volume,AUDJPY,AUDJPY Volume,EURCHF,EURCHF Volume,AUDCHF,AUDCHF Volume,XAUUSD,XAUUSD Volume,GBPNZD,GBPNZD Volume,NZDCHF,NZDCHF Volume,BCOUSD,BCOUSD Volume,AUDNZD,AUDNZD Volume,XAUAUD,XAUAUD Volume,GBPJPY,GBPJPY Volume,EURDKK,EURDKK Volume,USDCHF,USDCHF Volume,EURCAD,EURCAD Volume,EURPLN,EURPLN Volume,EURNZD,EURNZD Volume,CHFJPY,CHFJPY Volume,XAUGBP,XAUGBP Volume,HKXHKD,HKXHKD Volume,CADJPY,CADJPY Volume,EURUSD,EURUSD Volume,GRXEUR,GRXEUR Volume,EURJPY,EURJPY Volume,ZARJPY,ZARJPY Volume,EURTRY,EURTRY Volume,USDHKD,USDHKD Volume,USDSEK,USDSEK Volume,USDHUF,USDHUF Volume,NSXUSD,NSXUSD Volume,GBPUSD,GBPUSD Volume,XAGUSD,XAGUSD Volume,GBPCAD,GBPCAD Volume,EURGBP,EURGBP Volume,FRXEUR,FRXEUR Volume,EURNOK,EURNOK Volume,UKXGBP,UKXGBP Volume,GBPAUD,GBPAUD Volume,EURAUD,EURAUD Volume,EURCZK,EURCZK Volume
2000-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.39,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6865,0.0,,,,,,,,,,,,,,,0.9315,0.0,,,,,,,,,,,,,,,,,1.4987,0.0,,,,,,,,,,,,,,,,,,
2000-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.06,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6805,0.0,,,,,,,,,,,,,,,0.9377,0.0,,,,,,,,,,,,,,,,,1.501,0.0,,,,,,,,,,,,,,,,,,
2000-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.36,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6873,0.0,,,,,,,,,,,,,,,0.9315,0.0,,,,,,,,,,,,,,,,,1.4953,0.0,,,,,,,,,,,,,,,,,,
2000-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.1,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6683,0.0,,,,,,,,,,,,,,,0.944,0.0,,,,,,,,,,,,,,,,,1.5075,0.0,,,,,,,,,,,,,,,,,,
2000-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.19,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6673,0.0,,,,,,,,,,,,,,,0.9443,0.0,,,,,,,,,,,,,,,,,1.5115,0.0,,,,,,,,,,,,,,,,,,
2000-06-05,,,,,,,0.5712,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.48,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6633,0.0,,,,,,,,,,,,,,,0.9463,0.0,,,,,,,,,,,,,,,,,1.5175,0.0,,,,,,,,,,,,,,,,,,
2000-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.12,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6465,0.0,,,,,,,,,,,,,,,0.9535,0.0,,,,,,,,,,,,,,,,,1.5255,0.0,,,,,,,,,,,,,,,,,,
2000-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.75,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6354,0.0,,,,,,,,,,,,,,,0.9596,0.0,,,,,,,,,,,,,,,,,1.5191,0.0,,,,,,,,,,,,,,,,,,
2000-06-08,,,,,,,0.5915,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.2,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6393,0.0,,,,,,,,,,,,,,,0.9554,0.0,,,,,,,,,,,,,,,,,1.5095,0.0,,,,,,,,,,,,,,,,,,
2000-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.11,0.0,,,,,,,,,,,,,,,,,,,,,,,1.645,0.0,,,,,,,,,,,,,,,0.9548,0.0,,,,,,,,,,,,,,,,,1.5095,0.0,,,,,,,,,,,,,,,,,,
2000-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.97,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6467,0.0,,,,,,,,,,,,,,,0.9505,0.0,,,,,,,,,,,,,,,,,1.5047,0.0,,,,,,,,,,,,,,,,,,
2000-06-12,,,,,,,0.592,0.0,,,,,,,,,,,1.472,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.88,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6387,0.0,,,,,,,,,,,,,,,0.9534,0.0,,,,,,,,,,,,,,,,,1.5129,0.0,,,,,,,,,,,,,,,,,,
2000-06-13,,,,,,,0.5925,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.85,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6262,0.0,,,,,,,,,,,,,,,0.9616,0.0,,,,,,,,,,,,,,,,,1.5096,0.0,,,,,,,,,,,,,,,,,,
2000-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.61,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6326,0.0,,,,,,,,,,,,,,,0.958,0.0,,,,,,,,,,,,,,,,,1.5005,0.0,,,,,,,,,,,,,,,,,,
2000-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.54,0.0,,,,,,,,,,,,,,,,,,,,,,,1.6371,0.0,,,,,,,,,,,,,,,0.9539,0.0,,,,,,,,,,,,,,,,,1.5105,0.0,,,,,,,,,,,,,,,,,,
